BlueprintName,Tier,Unlocks
BP: Advanced Targeting Optics,5,Advanced Targeting Optics
BP: Brass Survey Scope,2,Brass Survey Scope
BP: Chain Assembly Suit,2,Chain Assembly Suit
BP: Composite Field Suit,4,Composite Field Suit
BP: Crystal Sight,4,Crystal Sight
BP: Diamond Lens Array,5,Diamond Lens Array
BP: Explorer Pack Mk.I,1,Explorer Pack Mk.I
BP: Explorer Pack Mk.II,2,Explorer Pack Mk.II
BP: Explorer Pack Mk.III,3,Explorer Pack Mk.III
BP: Explorer Pack Mk.IV,4,Explorer Pack Mk.IV
BP: Explorer Pack Mk.V,5,Explorer Pack Mk.V
BP: Explorer Pack Mk.VI,6,Explorer Pack Mk.VI
BP: Fiber Weave Vest,1,Fiber Weave Vest
BP: Forged Alloy Suit,3,Forged Alloy Suit
BP: Glass Survey Scope,1,Glass Survey Scope
BP: Inspection Lens,1,Inspection Lens
BP: Iron-Cased Scope,3,Iron-Cased Scope
BP: Ironclad Rig,3,Ironclad Rig
BP: Polished Optics,2,Polished Optics
BP: Precision Surveyor,3,Precision Surveyor
BP: Quantum Exo-Frame,6,Quantum Exo-Frame
BP: Quantum Optics Suite,6,Quantum Optics Suite
BP: Reinforced Combat Frame,5,Reinforced Combat Frame
BP: Reinforced Fiber Suit,2,Reinforced Fiber Suit
BP: Reinforced Lens Array,2,Reinforced Lens Array
BP: Standard Binoculars,1,Standard Binoculars
BP: Steel Plated Suit,4,Steel Plated Suit
BP: Tactical Operations Suit,5,Tactical Operations Suit
BP: Tactical Optics Rig,4,Tactical Optics Rig
